,district,horses/asses,milking  cows no.,milking  buffaloes no.,cow milk,buff milk,total milk produced,buff,mutton,chevon,pork ,chicken,duck meat,total meat,area (ha.),prod. (mt.),yield kg/ha,laying hen,laying duck,hen egg,duck egg,total egg,rabbit,sheeps no.,sheep wool produced,yak/nak/chauri,region
56,SIRAHA,0.0,12434,23745,8125,25624,33749.0,3221,3,1286,308,809,4,5631,0.0,0.0,0.0,196437.0,3200,17231,248,17479,0.0,941,747,0.0,(2) MADHESH - Terai
57,DOLAKHA,0.0,12344,13805,5544,10155,15699.0,1704,40,576,117,210,2,2649,0.0,0.0,0.0,67464.0,1964,8040,155,8195,0.0,11809,8774,5053.0,(3) BAGMATI - Himalayan
58,SINDHUPALCHOK,0.0,7183,16901,6567,18456,25023.0,2457,27,1047,209,784,1,4525,0.0,0.0,0.0,151540.0,1184,7500,90,7590,220.0,7956,5911,4540.0,(3) BAGMATI - Himalayan
59,RASUWA,0.0,1853,1901,1062,1650,2712.0,325,18,198,18,52,0,611,0.0,0.0,0.0,13267.0,275,942,20,962,581.0,5335,3964,128.0,(3) BAGMATI - Himalayan
60,RAMECHHAP,0.0,12255,18055,4780,13521,18301.0,2311,11,726,213,278,0,3539,0.0,0.0,0.0,71247.0,317,6502,24,6526,74.0,3763,2795,1653.0,(3) BAGMATI - Hill
61,SINDHULI,0.0,15745,14960,8024,5955,13979.0,2089,2,1003,367,792,2,4255,0.0,0.0,0.0,102420.0,2265,7683,175,7858,0.0,315,234,0.0,(3) BAGMATI - Hill
62,KAVRE,0.0,20587,34634,17919,65590,83509.0,4434,16,1418,257,1649,1,7775,0.0,0.0,0.0,780840.0,1209,35896,92,35988,1045.0,3746,2783,0.0,(3) BAGMATI - Hill
63,BHAKTAPUR,0.0,3402,2164,3402,4494,7896.0,1013,9,175,212,647,3,2059,0.0,0.0,0.0,385908.0,2722,40781,214,40995,0.0,2588,1922,0.0,(3) BAGMATI - Hill
64,LALITPUR,0.0,3319,8668,2202,12595,14797.0,1109,7,468,142,1953,2,3681,0.0,0.0,0.0,267394.0,1701,32115,131,32246,0.0,2164,1607,0.0,(3) BAGMATI - Hill
65,KATHMANDU,0.0,6573,8553,4166,10867,15033.0,2289,10,801,292,2294,2,5688,0.0,0.0,0.0,514691.0,2186,41065,168,41233,2250.0,3075,2284,0.0,(3) BAGMATI - Hill
66,DHADING,0.0,24068,36469,13791,24416,38207.0,3105,16,314,415,2965,4,6819,0.0,0.0,0.0,604699.0,3576,28205,272,28477,1050.0,8807,6543,190.0,(3) BAGMATI - Hill
67,MAKWANPUR,0.0,18220,25820,12440,30774,43214.0,2795,10,1172,162,2405,1,6545,0.0,0.0,0.0,202947.0,617,58059,47,58106,19.0,52,39,0.0,(3) BAGMATI - Hill
68,DHANUSHA,0.0,19150,17700,14056,22710,36766.0,2538,2,1566,95,514,6,4721,0.0,0.0,0.0,103976.0,3885,8650,295,8945,0.0,650,482,0.0,(2) MADHESH - Terai
69,MAHOTTARI,0.0,16860,20270,9661,18447,28108.0,2578,2,781,208,561,4,4134,0.0,0.0,0.0,121995.0,3084,9850,234,10084,0.0,641,476,0.0,(2) MADHESH - Terai
70,SARLAHI,0.0,19221,25019,15374,17825,33199.0,2779,3,1080,138,825,5,4830,0.0,0.0,0.0,211593.0,4386,5498,333,5831,0.0,1187,881,0.0,(2) MADHESH - Terai
71,PARSA,0.0,11400,14424,6532,13755,20287.0,2260,0,910,195,452,4,3821,0.0,0.0,0.0,116045.0,3476,10210,264,10474,0.0,144,106,0.0,(2) MADHESH - Terai
72,PALPA,0.0,11434,23688,6552,21850,28402.0,2514,7,1043,305,376,2,4247,0.0,0.0,0.0,96610.0,1790,9004,136,9140,888.0,2654,1971,0.0,(5) LUMBINI - Hill
73,KAILALI,0.0,27758,41103,27905,36677,64582.0,5962,71,1480,469,1303,4,9289,0.0,0.0,0.0,277409.3,3418,16928,275,17203,0.0,21267,15801,0.0,(7) SUDUR PASCHIM - Terai
74,KANCHANPUR,0.0,20164,27812,23146,25876,49022.0,3816,27,850,360,1085,2,6140,0.0,0.0,0.0,186108.0,1932,13483,155,13638,0.0,7953,5909,0.0,(7) SUDUR PASCHIM - Terai
